sep=,
File............:   - FEB;22.2023
System..........:  
Temperature.....:  -0.4+-0.0C
Time............:  14:33:54-14:34:51
Slewrate........:  200mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Cyclic voltammogram
Lines:   1140
Columns: 3
Number,Time/s,Potential/V,Current/A
1,0.0,0.000,1.639e-05
2,0.0,0.000,1.785e-05
3,0.1,0.000,1.751e-05
4,0.1,0.000,1.642e-05
5,0.2,0.000,1.766e-05
6,0.2,0.000,1.717e-05
7,0.3,0.000,1.740e-05
8,0.3,0.000,1.835e-05
9,0.4,0.000,1.878e-05
10,0.4,0.000,1.758e-05
11,0.5,0.000,1.761e-05
12,0.5,0.000,1.835e-05
13,0.6,0.000,1.738e-05
14,0.6,0.000,1.846e-05
15,0.7,0.000,1.893e-05
16,0.7,0.000,1.741e-05
17,0.8,0.000,1.777e-05
18,0.8,0.000,1.587e-05
19,0.9,0.000,1.879e-05
20,0.9,0.000,1.518e-05
21,1.0,0.005,7.002e-05
22,1.0,0.015,8.800e-05
23,1.1,0.025,9.788e-05
24,1.1,0.035,1.027e-04
25,1.2,0.045,1.072e-04
26,1.2,0.055,1.103e-04
27,1.3,0.065,1.148e-04
28,1.3,0.075,1.186e-04
29,1.4,0.085,1.216e-04
30,1.4,0.095,1.244e-04
31,1.5,0.105,1.277e-04
32,1.5,0.115,1.297e-04
33,1.6,0.125,1.312e-04
34,1.6,0.135,1.355e-04
35,1.7,0.145,1.373e-04
36,1.7,0.155,1.395e-04
37,1.8,0.165,1.428e-04
38,1.8,0.175,1.463e-04
39,1.9,0.185,1.495e-04
40,1.9,0.195,1.513e-04
41,2.0,0.205,1.557e-04
42,2.0,0.215,1.607e-04
43,2.1,0.225,1.624e-04
44,2.1,0.235,1.656e-04
45,2.2,0.245,1.704e-04
46,2.2,0.255,1.747e-04
47,2.3,0.265,1.794e-04
48,2.3,0.275,1.831e-04
49,2.4,0.285,1.915e-04
50,2.4,0.295,1.933e-04
51,2.5,0.305,2.004e-04
52,2.5,0.315,2.056e-04
53,2.6,0.325,2.132e-04
54,2.6,0.335,2.212e-04
55,2.7,0.345,2.298e-04
56,2.7,0.355,2.390e-04
57,2.8,0.365,2.454e-04
58,2.8,0.375,2.587e-04
59,2.9,0.385,2.697e-04
60,2.9,0.395,2.840e-04
61,3.0,0.405,3.043e-04
62,3.0,0.415,3.354e-04
63,3.1,0.425,3.556e-04
64,3.1,0.435,3.695e-04
65,3.2,0.445,3.793e-04
66,3.2,0.455,3.966e-04
67,3.3,0.465,4.255e-04
68,3.3,0.475,4.694e-04
69,3.4,0.485,5.253e-04
70,3.4,0.495,6.085e-04
71,3.5,0.495,4.986e-04
72,3.5,0.485,3.619e-04
73,3.6,0.475,2.675e-04
74,3.6,0.465,2.050e-04
75,3.7,0.455,1.584e-04
76,3.7,0.445,1.200e-04
77,3.8,0.435,9.511e-05
78,3.8,0.425,7.367e-05
79,3.9,0.415,5.501e-05
80,3.9,0.405,4.105e-05
81,4.0,0.395,2.750e-05
82,4.0,0.385,1.783e-05
83,4.1,0.375,7.970e-06
84,4.1,0.365,1.748e-06
85,4.2,0.355,-9.246e-06
86,4.2,0.345,-1.571e-05
87,4.3,0.335,-2.109e-05
88,4.3,0.325,-2.674e-05
89,4.4,0.315,-3.434e-05
90,4.4,0.305,-4.127e-05
91,4.5,0.295,-4.482e-05
92,4.5,0.285,-4.757e-05
93,4.6,0.275,-5.407e-05
