sep=,
File............:   - FEB;22.2023
System..........:  
Temperature.....:  -0.4+-0.1C
Time............:  16:13:30-16:15:25
Slewrate........:  150mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Cyclic voltammogram
Lines:   865
Columns: 3
Number,Time/s,Potential/V,Current/A
1,0.0,0.000,2.081e-03
2,0.1,0.000,2.062e-03
3,0.2,0.000,2.110e-03
4,0.3,0.000,2.062e-03
5,0.5,0.000,2.051e-03
6,0.6,0.000,2.012e-03
7,0.7,0.000,2.006e-03
8,0.9,0.002,2.436e-03
9,1.0,0.020,3.895e-03
10,1.1,0.040,4.511e-03
11,1.3,0.060,4.861e-03
12,1.4,0.080,5.201e-03
13,1.5,0.100,5.469e-03
14,1.7,0.120,5.733e-03
15,1.8,0.140,5.962e-03
16,1.9,0.160,6.168e-03
17,2.1,0.180,6.407e-03
18,2.2,0.200,6.649e-03
19,2.3,0.220,6.919e-03
20,2.5,0.240,7.180e-03
21,2.6,0.260,7.439e-03
22,2.7,0.280,7.749e-03
23,2.9,0.300,8.005e-03
24,3.0,0.320,8.367e-03
25,3.1,0.340,8.759e-03
26,3.3,0.360,9.227e-03
27,3.4,0.380,9.806e-03
28,3.5,0.400,1.046e-02
29,3.7,0.420,1.133e-02
30,3.8,0.440,1.224e-02
31,3.9,0.460,1.330e-02
32,4.1,0.479,1.455e-02
33,4.2,0.495,1.532e-02
34,4.3,0.481,1.155e-02
35,4.5,0.461,8.634e-03
36,4.6,0.441,6.452e-03
37,4.7,0.421,4.898e-03
38,4.9,0.401,3.720e-03
39,5.0,0.381,2.904e-03
40,5.1,0.361,2.267e-03
41,5.3,0.341,1.656e-03
42,5.4,0.321,1.215e-03
43,5.5,0.301,8.016e-04
44,5.7,0.281,4.491e-04
45,5.8,0.261,1.743e-04
46,5.9,0.241,-7.406e-05
47,6.1,0.221,-2.714e-04
48,6.2,0.201,-4.555e-04
49,6.3,0.181,-6.922e-04
50,6.5,0.161,-8.443e-04
51,6.6,0.141,-1.007e-03
52,6.7,0.121,-1.232e-03
53,6.9,0.101,-1.424e-03
54,7.0,0.081,-1.606e-03
55,7.1,0.061,-1.772e-03
56,7.3,0.041,-1.895e-03
57,7.4,0.021,-2.076e-03
58,7.5,0.001,-2.183e-03
59,7.7,-0.019,-2.374e-03
60,7.8,-0.039,-2.507e-03
61,7.9,-0.059,-2.609e-03
62,8.1,-0.079,-2.804e-03
63,8.2,-0.099,-2.977e-03
64,8.3,-0.119,-3.127e-03
65,8.5,-0.139,-3.344e-03
66,8.6,-0.159,-3.513e-03
67,8.7,-0.179,-3.757e-03
68,8.9,-0.199,-4.069e-03
69,9.0,-0.219,-4.414e-03
70,9.1,-0.239,-4.911e-03
71,9.3,-0.259,-5.395e-03
72,9.4,-0.279,-5.813e-03
73,9.5,-0.299,-6.047e-03
74,9.7,-0.319,-6.148e-03
75,9.8,-0.339,-6.386e-03
76,9.9,-0.359,-6.732e-03
77,10.1,-0.379,-7.158e-03
78,10.2,-0.399,-7.605e-03
79,10.3,-0.419,-8.191e-03
80,10.5,-0.439,-8.766e-03
81,10.6,-0.458,-9.393e-03
82,10.7,-0.478,-1.008e-02
83,10.9,-0.498,-1.074e-02
84,11.0,-0.518,-1.148e-02
85,11.1,-0.538,-1.219e-02
86,11.3,-0.558,-1.295e-02
87,11.4,-0.578,-1.366e-02
88,11.5,-0.598,-1.444e-02
89,11.7,-0.618,-1.523e-02
90,11.8,-0.638,-1.611e-02
91,11.9,-0.658,-1.690e-02
92,12.1,-0.678,-1.780e-02
93,12.2,-0.698,-1.868e-02
94,12.3,-0.718,-1.963e-02
95,12.5,-0.738,-2.062e-02
96,12.6,-0.758,-2.161e-02
97,12.7,-0.778,-2.266e-02
98,12.9,-0.798,-2.380e-02
99,13.0,-0.818,-2.500e-02
100,13.1,-0.838,-2.628e-02
101,13.3,-0.858,-2.769e-02
102,13.4,-0.878,-2.921e-02
103,13.5,-0.898,-3.082e-02
104,13.7,-0.918,-3.263e-02
105,13.8,-0.938,-3.461e-02
106,13.9,-0.958,-3.666e-02
107,14.1,-0.978,-3.883e-02
108,14.2,-0.998,-4.103e-02
109,14.3,-1.018,-4.321e-02
110,14.5,-1.038,-4.529e-02
111,14.6,-1.058,-4.720e-02
112,14.7,-1.078,-4.888e-02
113,14.9,-1.098,-5.024e-02
114,15.0,-1.118,-5.116e-02
115,15.1,-1.138,-5.160e-02
116,15.3,-1.158,-5.162e-02
117,15.4,-1.178,-5.140e-02
118,15.5,-1.198,-5.106e-02
119,15.7,-1.218,-5.079e-02
120,15.8,-1.238,-5.068e-02
121,15.9,-1.258,-5.054e-02
122,16.1,-1.278,-5.061e-02
123,16.2,-1.298,-5.074e-02
124,16.3,-1.318,-5.102e-02
125,16.5,-1.338,-5.135e-02
126,16.6,-1.358,-5.178e-02
127,16.7,-1.378,-5.228e-02
128,16.9,-1.398,-5.290e-02
129,17.0,-1.417,-5.349e-02
130,17.1,-1.437,-5.422e-02
131,17.2,-1.457,-5.498e-02
132,17.4,-1.477,-5.593e-02
133,17.5,-1.495,-5.623e-02
134,17.6,-1.483,-4.884e-02
135,17.8,-1.463,-4.162e-02
136,17.9,-1.443,-3.575e-02
137,18.0,-1.423,-3.087e-02
138,18.2,-1.403,-2.692e-02
139,18.3,-1.383,-2.350e-02
140,18.4,-1.363,-2.060e-02
141,18.6,-1.343,-1.824e-02
142,18.7,-1.323,-1.611e-02
143,18.8,-1.303,-1.435e-02
144,19.0,-1.283,-1.277e-02
145,19.1,-1.263,-1.142e-02
146,19.2,-1.243,-1.014e-02
147,19.4,-1.223,-9.000e-03
