sep=,
File............:   - FEB;22.2023
System..........:  
Temperature.....:  -0.4+-0.0C
Time............:  17:30:00-17:33:32
Slewrate........:  100mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Cyclic voltammogram
Lines:   1060
Columns: 3
Number,Time/s,Potential/V,Current/A
1,0.0,0.000,1.884e-03
2,0.1,0.000,1.845e-03
3,0.3,0.000,1.837e-03
4,0.5,0.000,1.822e-03
5,0.7,0.000,1.812e-03
6,0.9,0.010,2.633e-03
7,1.1,0.030,3.167e-03
8,1.3,0.050,3.404e-03
9,1.5,0.070,3.595e-03
10,1.7,0.090,3.768e-03
11,1.9,0.110,3.911e-03
12,2.1,0.130,4.021e-03
13,2.3,0.150,4.192e-03
14,2.5,0.170,4.290e-03
15,2.7,0.190,4.438e-03
16,2.9,0.210,4.592e-03
17,3.1,0.230,4.725e-03
18,3.3,0.250,4.922e-03
19,3.5,0.270,5.130e-03
20,3.7,0.290,5.300e-03
21,3.9,0.310,5.562e-03
22,4.1,0.330,5.864e-03
23,4.3,0.350,6.176e-03
24,4.5,0.370,6.661e-03
25,4.7,0.390,7.440e-03
26,4.9,0.410,8.038e-03
27,5.1,0.430,8.662e-03
28,5.3,0.450,9.503e-03
29,5.5,0.470,1.094e-02
30,5.7,0.490,1.329e-02
31,5.9,0.490,1.261e-02
32,6.1,0.470,9.097e-03
33,6.3,0.450,6.677e-03
34,6.5,0.430,5.019e-03
35,6.7,0.410,3.974e-03
36,6.9,0.390,3.290e-03
37,7.1,0.370,2.730e-03
38,7.3,0.350,2.318e-03
39,7.5,0.330,1.929e-03
40,7.7,0.310,1.639e-03
41,7.9,0.290,1.323e-03
42,8.1,0.270,1.019e-03
43,8.3,0.250,7.194e-04
44,8.5,0.230,6.166e-04
45,8.7,0.210,5.807e-04
46,8.9,0.190,4.599e-04
47,9.1,0.170,3.444e-04
48,9.3,0.150,2.217e-04
49,9.5,0.131,7.447e-05
50,9.7,0.111,-7.511e-05
51,9.9,0.091,-2.144e-04
52,10.1,0.071,-3.397e-04
53,10.3,0.051,-4.480e-04
54,10.5,0.031,-5.443e-04
55,10.7,0.011,-7.177e-04
56,10.9,-0.010,-8.139e-04
57,11.1,-0.030,-8.963e-04
58,11.3,-0.050,-9.843e-04
59,11.5,-0.069,-1.140e-03
60,11.7,-0.089,-1.263e-03
61,11.9,-0.109,-1.390e-03
62,12.1,-0.129,-1.510e-03
63,12.3,-0.149,-1.643e-03
64,12.5,-0.169,-1.787e-03
65,12.7,-0.189,-1.908e-03
66,12.9,-0.209,-2.093e-03
67,13.1,-0.229,-2.276e-03
68,13.3,-0.249,-2.484e-03
69,13.5,-0.269,-2.763e-03
70,13.7,-0.289,-3.005e-03
71,13.9,-0.309,-3.224e-03
72,14.1,-0.329,-3.505e-03
73,14.3,-0.349,-3.837e-03
74,14.5,-0.369,-4.199e-03
75,14.7,-0.389,-4.582e-03
76,14.9,-0.409,-5.004e-03
77,15.1,-0.429,-5.499e-03
78,15.3,-0.449,-5.976e-03
79,15.5,-0.469,-6.527e-03
80,15.7,-0.489,-7.019e-03
81,15.9,-0.509,-7.594e-03
82,16.1,-0.529,-8.080e-03
83,16.3,-0.549,-8.612e-03
84,16.5,-0.569,-9.189e-03
85,16.7,-0.589,-9.745e-03
86,16.9,-0.609,-1.029e-02
87,17.1,-0.629,-1.084e-02
88,17.3,-0.649,-1.139e-02
89,17.5,-0.669,-1.191e-02
90,17.7,-0.689,-1.240e-02
91,17.9,-0.709,-1.296e-02
92,18.1,-0.729,-1.344e-02
93,18.3,-0.749,-1.400e-02
94,18.5,-0.769,-1.448e-02
95,18.7,-0.789,-1.504e-02
96,18.9,-0.809,-1.567e-02
97,19.1,-0.829,-1.634e-02
98,19.3,-0.849,-1.710e-02
99,19.5,-0.869,-1.797e-02
100,19.7,-0.889,-1.885e-02
101,19.9,-0.909,-1.972e-02
102,20.1,-0.929,-2.038e-02
103,20.3,-0.949,-2.088e-02
104,20.5,-0.969,-2.104e-02
105,20.7,-0.989,-2.092e-02
106,20.9,-1.009,-2.054e-02
107,21.1,-1.029,-2.006e-02
108,21.3,-1.049,-1.952e-02
109,21.5,-1.069,-1.908e-02
110,21.7,-1.089,-1.877e-02
111,21.9,-1.109,-1.856e-02
112,22.1,-1.129,-1.842e-02
113,22.3,-1.149,-1.836e-02
114,22.5,-1.169,-1.831e-02
115,22.7,-1.189,-1.831e-02
116,22.9,-1.209,-1.833e-02
117,23.1,-1.229,-1.839e-02
118,23.3,-1.249,-1.849e-02
119,23.5,-1.269,-1.856e-02
120,23.7,-1.289,-1.868e-02
121,23.9,-1.309,-1.885e-02
122,24.1,-1.329,-1.906e-02
123,24.3,-1.349,-1.927e-02
124,24.5,-1.369,-1.953e-02
125,24.7,-1.389,-1.983e-02
126,24.9,-1.409,-2.015e-02
127,25.1,-1.429,-2.050e-02
128,25.3,-1.449,-2.091e-02
129,25.5,-1.469,-2.147e-02
130,25.7,-1.489,-2.216e-02
131,25.9,-1.491,-1.900e-02
132,26.1,-1.471,-1.321e-02
133,26.3,-1.451,-9.214e-03
134,26.5,-1.431,-6.193e-03
135,26.7,-1.411,-3.840e-03
136,26.9,-1.391,-1.967e-03
137,27.1,-1.371,-4.561e-04
138,27.3,-1.351,7.152e-04
139,27.5,-1.331,1.688e-03
140,27.7,-1.311,2.507e-03
141,27.9,-1.291,3.214e-03
142,28.1,-1.271,3.781e-03
143,28.3,-1.251,4.363e-03
144,28.5,-1.231,4.853e-03
145,28.7,-1.211,5.295e-03
146,28.9,-1.191,5.690e-03
147,29.1,-1.171,6.040e-03
148,29.3,-1.151,6.383e-03
149,29.5,-1.131,6.725e-03
150,29.7,-1.111,7.024e-03
151,29.9,-1.091,7.281e-03
152,30.1,-1.071,7.570e-03
153,30.3,-1.051,7.792e-03
154,30.5,-1.031,8.032e-03
155,30.7,-1.011,8.208e-03
156,30.9,-0.991,8.436e-03
157,31.1,-0.971,8.584e-03
158,31.3,-0.951,8.756e-03
159,31.5,-0.931,8.894e-03
160,31.7,-0.911,9.055e-03
161,31.9,-0.891,9.199e-03
162,32.1,-0.871,9.315e-03
163,32.3,-0.851,9.429e-03
164,32.5,-0.831,9.553e-03
165,32.7,-0.811,9.644e-03
166,32.9,-0.791,9.745e-03
167,33.1,-0.772,9.832e-03
168,33.3,-0.752,9.900e-03
169,33.5,-0.732,9.912e-03
170,33.7,-0.712,9.897e-03
171,33.9,-0.692,9.834e-03
172,34.1,-0.672,9.832e-03
173,34.3,-0.652,9.783e-03
174,34.5,-0.632,9.732e-03
175,34.7,-0.612,9.697e-03
176,34.9,-0.592,9.642e-03
177,35.1,-0.572,9.594e-03
178,35.3,-0.552,9.514e-03
179,35.5,-0.532,9.458e-03
