ACM Instruments v4 analysis (03/mar./2023 12:51)

File name,C:\Data\ELL\MnO2_sintetizado\MnO2_600mV_sint,
Test type,Cyclic sweep,
Instrument serial number,901,
Physical channel,3,
Sequence number,1,
ZRA Number,n/a,
Time and Date,12:44:52 03/mar./2023,
Data points,251,
Area (cm²),1,
Rest Potential (mV),Not recorded,
Metal,Mild Steel,
Metal factor,1159,
LPR (Ohm.cm²),23.508,
Ba (mV),120,
Bc (mV),120,
Icorr (mA/cm²),1.1096,
Corrosion Rate (mm/year),12.861,
Corrosion rate (mils/yr),506.34,
Intercept (mA/cm²),0,
Intercept corrosion rate (mm/year),0,
Intercept corrosion rate (mils/yr),0,
IR Compensation value (Ohm.cm²),N/A,
,
Current (mA/cm²),Potential (mV),Time (Sec),
-5.0138,-1489.6,0,
3.2033,-1395.4,1.141,
6.2233,-1320.3,1.828,
8.0668,-1253.8,2.578,
10.551,-1165.4,3.5779,
11.85,-1080,4.39,
12.84,-1000.9,5.265,
13.623,-919.74,6.14,
14.493,-836.19,6.9529,
15.033,-756.22,7.5,
15.585,-663.09,8.3279,
15.778,-580.43,9.265,
15.75,-497.32,10.077,
15.462,-419.73,10.953,
15.164,-336.92,11.828,
14.53,-253.71,12.64,
13.72,-176.39,13.467,
12.818,-100.07,14.328,
12.019,-17.366,15.14,
11.33,62.162,15.687,
11.057,156.04,16.515,
11.002,238.01,17.451,
11.565,322.29,18.343,
12.705,404.45,19.201,
,,19.749,
15.485,488.52,20.077,
10.38,465.14,20.889,
4.1367,379.47,21.718,
1.2674,303.32,22.577,
-0.5540226,220.75,23.39,
-1.2734,141.58,23.936,
-2.4141,47.293,24.765,
-3.271,-41.446,25.764,
-3.8435,-125.97,26.64,
-4.8253,-212.86,27.514,
-5.5271,-293.51,28.358,
-6.6045,-374.73,29.186,
-7.6586,-451.87,30.061,
-8.8588,-532.73,30.874,
-10.126,-611.55,31.749,
-11.393,-694.36,32.296,
-12.575,-787.4,33.123,
-13.537,-866.93,33.936,
-14.388,-943.58,34.811,
-15.696,-1025.7,35.639,
-16.898,-1104.5,36.436,
-17.669,-1180.9,37.311,
-18.489,-1262.9,38.186,
-19.275,-1344.4,38.997,
-20.384,-1424.8,39.873,
,,40.108,
-21.412,-1505.4,40.419,
-4.6417,-1418.1,41.436,
1.9246,-1324,42.498,
5.6554,-1237,43.373,
8.6693,-1144.3,44.311,
10.13,-1064.8,45.186,
11.468,-981.98,46.061,
12.461,-899.76,46.873,
13.339,-820.4,47.748,
14.035,-739.1,48.622,
14.67,-654.76,49.17,
14.877,-559.44,50.059,
14.722,-475.86,50.935,
14.155,-394.47,51.747,
13.653,-315.15,52.623,
12.721,-234.14,53.497,
11.831,-151.01,54.31,
11.013,-71.496,55.185,
9.9475,7.7282,55.998,
9.5915,88.636,56.825,
9.3134,166.7,57.42,
9.7379,265.66,58.247,
10.293,344.11,59.123,
11.733,424.79,59.935,
,,60.169,
13.301,485.2,60.794,
6.4219,424.45,61.575,
