ACM Instruments v4 analysis (03/mar./2023 12:25)

File name,C:\Data\ELL\MnO2_sintetizado\MnO2_600mV_sint,
Test type,Cyclic sweep,
Instrument serial number,901,
Physical channel,3,
Sequence number,1,
ZRA Number,n/a,
Time and Date,11:59:54 03/mar./2023,
Data points,982,
Area (cm²),1,
Rest Potential (mV),Not recorded,
Metal,,
Metal factor,0,
LPR (Ohm.cm²),71.153,
Ba (mV),120,
Bc (mV),120,
Icorr (mA/cm²),0.3666273,
Corrosion Rate (mm/year),0,
Corrosion rate (mils/yr),0,
Intercept (mA/cm²),0,
Intercept corrosion rate (mm/year),0,
Intercept corrosion rate (mils/yr),0,
IR Compensation value (Ohm.cm²),N/A,
,
Current (mA/cm²),Potential (mV),Time (Sec),
-18.561,-1497.2,0,
-16.157,-1478.5,0.9059999,
-14.742,-1460.7,1.5939,
-13.637,-1443.6,2.3749,
-12.348,-1423.3,3.2339,
-11.421,-1403.3,4.0779,
-10.594,-1383.4,4.938,
-9.867,-1362.7,5.8279,
-9.2412,-1341.8,6.641,
-8.724,-1322.1,7.187,
-8.0467,-1298.7,8.0309,
-7.5075,-1277.3,8.984,
-7.0984,-1256.7,9.7969,
-6.8029,-1237.5,10.655,
-6.4771,-1217,11.483,
-6.189,-1197.6,12.217,
-5.9257,-1179.4,13.014,
-5.6332,-1160.6,13.797,
-5.2925,-1141.7,14.578,
-5.0135,-1123.3,15.124,
-4.1811,-1095.8,16.186,
-4.0317,-1074.8,17.014,
-3.7908,-1055.3,17.796,
-3.5803,-1037.2,18.624,
-3.2203,-1017.3,19.421,
-3.0043,-998.25,20.295,
-2.6841,-978.19,21.171,
-2.3889,-957.3,22.015,
-2.0402,-936.48,22.889,
-1.7758,-916.41,23.374,
-1.6189,-899.36,24.03,
-1.3256,-880.05,24.827,
-0.9685116,-860.02,25.639,
-0.741983,-840.72,26.467,
-0.3709699,-818.26,27.701,
0.0017669,-791.93,28.561,
0.1337101,-771.96,29.436,
0.4208295,-749.84,30.358,
0.6676307,-728.39,31.202,
0.8621574,-708.92,31.732,
1.1441,-684.61,32.576,
1.1964,-665.26,33.451,
1.4829,-641.99,34.452,
1.5823,-620.61,35.279,
1.5765,-601.06,36.107,
1.6123,-581.29,36.904,
1.6543,-562.47,37.732,
1.7001,-543.47,38.591,
1.777,-522.62,39.42,
1.8348,-501.85,39.966,
1.9165,-478.88,40.794,
1.838,-459.66,41.608,
1.8802,-439.94,42.482,
1.9536,-419.63,43.295,
1.9457,-400.17,44.169,
2.0043,-379.8,45.061,
2.0666,-359.15,45.872,
2.1265,-339.58,46.686,
2.1876,-320.35,47.78,
2.4718,-293.6,48.341,
2.5401,-270.39,49.122,
2.67,-251.63,49.936,
2.937,-232.68,50.7,
3.2385,-214.76,51.436,
3.6678,-195.11,52.403,
4.1329,-174.03,53.231,
4.6423,-153.87,54.092,
5.1623,-133.91,54.919,
5.6697,-113.7,55.778,
6.0113,-93.584,56.341,
5.98,-69.902,57.17,
5.4708,-50.331,57.981,
4.3798,-31.303,58.778,
3.5056,-12.306,59.606,
3.1084,7.1389,60.465,
2.9097,27.634,61.278,
2.8577,48.238,62.17,
2.8115,67.631,62.981,
2.8723,87.761,63.856,
2.9916,107.93,64.341,
2.9777,124.78,64.934,
3.1377,143.36,65.715,
3.2086,161.94,66.544,
3.3168,181.14,67.356,
3.4136,200.52,68.169,
3.5274,220.31,69.028,
3.6278,241.08,69.919,
3.722,261.88,70.824,
3.8795,282.98,71.637,
4.072,303.39,72.184,
4.2733,326.11,73.059,
4.4955,346.94,73.871,
4.741,366.18,74.699,
4.9687,384.97,75.513,
5.2741,404.84,76.402,
5.6662,425.72,77.216,
6.1114,445.78,78.075,
6.5893,464.96,78.841,
7.2498,484.15,79.652,
,,79.888,
8.3293,503.18,80.2,
5.8309,483.4,81.122,
4.0597,462.1,81.996,
2.8785,441.91,82.872,
2.0324,421.04,83.683,
1.5028,401.36,84.48,
1.1306,382.58,85.308,
0.8220665,363.4,86.122,
0.6098289,343.62,86.933,
0.2866275,322.29,88.215,
-0.0214932,293.45,88.809,
-0.0526033,268.89,89.636,
-0.1370343,247.59,90.589,
-0.1704498,228,91.34,
-0.1996441,210.01,92.136,
-0.3110999,190.64,93.011,
-0.3852301,169.69,93.887,
-0.4356363,148.85,94.778,
-0.4876464,127.99,95.589,
-0.5269934,108.6,96.481,
-0.6526371,86.922,97.026,
-0.7058911,63.017,97.855,
-0.6940725,44.332,98.684,
-0.777121,24.644,99.543,
-0.8446625,3.9412,100.35,
-0.8460983,-15.382,101.19,
-0.9172559,-34.956,102.05,
-1.0154,-56.387,102.92,
-1.0118,-76.916,103.8,
-1.2013,-99.414,104.85,
-1.2157,-122.55,105.41,
-1.2768,-146.59,106.3,
-1.3742,-167.65,107.13,
-1.4104,-187.27,107.94,
-1.4829,-206.47,108.81,
-1.6194,-226.21,109.56,
-1.712,-245.21,110.39,
-1.7338,-264.18,111.19,
-1.8625,-283.54,111.95,
-1.8859,-301.58,112.83,
-2.0553,-321.7,113.31,
-2.0684,-338.9,113.97,
-2.3139,-360.33,114.99,
-2.4493,-384.17,115.88,
-2.5863,-404.9,116.75,
-2.664,-424.85,117.56,
-2.7968,-445.09,118.39,
-2.9318,-464.44,119.22,
-3.0703,-483.7,120.08,
-3.2629,-504.43,120.95,
-3.4156,-525.04,121.45,
-3.4717,-542.15,122.05,
-3.6525,-561.1,122.91,
-3.8661,-581.53,123.78,
-4.0207,-602.09,124.66,
-4.2285,-623.55,125.58,
-4.4018,-644.49,126.41,
-4.5609,-663.93,127.22,
-4.8084,-684.3,128.08,
-5.039,-704.19,128.97,
-5.3704,-725.31,129.5,
-5.7802,-749.56,130.41,
-6.0985,-769.96,131.28,
-6.489,-790.27,132.1,
-6.8792,-809.74,132.91,
-7.3443,-830.21,133.77,
-7.8266,-851.35,134.72,
-8.3086,-871.94,135.53,
-8.7344,-891.13,136.34,
-9.257,-911.31,137.17,
-9.7027,-930.69,137.64,
-10.062,-946.99,138.3,
-10.562,-966.58,139.14,
-11.068,-987.43,140.03,
-11.542,-1008.2,140.91,
-12.007,-1029.1,141.78,
-12.371,-1049.5,142.64,
-12.738,-1070.4,143.47,
-13.052,-1090.5,144.31,
-13.378,-1110.2,145.16,
-13.7,-1131,145.73,
-14.026,-1153.7,146.55,
-14.256,-1175,147.48,
-14.448,-1195.9,148.34,
-14.591,-1216.1,149.16,
-14.749,-1236,150.03,
-14.917,-1256.3,150.92,
-15.104,-1277.1,151.78,
